Unit_ID,Category,Sector,Cluster_City,Investment_INR_Cr,Turnover_INR_Cr,GST_Filing,GST_Consistency,Physical_Risk_Index,Green_Capex_Score,NLP_Authenticity_Score,SEC_toe_per_tonne,Digital_Readiness,Technostress,Physical_Flood_Risk,ESG_Disclosure_Score,News_Sentiment,PD_Prob,Approved
MSME_0001,Micro,Manufacturing,Surat,0.45,4.20,1,0.98,72,85,0.88,0.40,4.5,2.1,85,68,0.35,0.041,1
MSME_0002,Small,Trading,Coimbatore,8.20,65.00,1,0.95,25,60,0.72,0.10,4.1,3.1,15,55,0.12,0.058,1
MSME_0003,Micro,Manufacturing,Faridabad,0.15,1.20,0,0.65,48,15,0.22,0.70,3.2,4.2,45,22,-0.25,0.884,0
MSME_0004,Micro,Services,Chennai,0.30,3.50,1,1.00,65,92,0.91,0.02,4.8,1.8,75,72,0.45,0.021,1
MSME_0005,Medium,Manufacturing,Ludhiana,55.00,280.00,1,0.99,35,88,0.95,1.65,4.2,2.9,30,85,0.55,0.015,1
MSME_0006,Micro,Trading,Surat,0.08,0.95,1,0.88,82,45,0.55,0.07,3.9,3.0,85,40,0.05,0.118,1
MSME_0007,Small,Manufacturing,Coimbatore,12.50,95.00,1,0.92,15,70,0.78,0.55,4.3,2.4,12,62,0.22,0.047,1
MSME_0008,Micro,Manufacturing,Vapi,0.55,4.80,0,0.72,55,10,0.15,1.26,3.1,3.8,55,18,-0.42,0.912,0
MSME_0009,Micro,Trading,Delhi,0.12,1.10,1,0.91,42,52,0.68,0.03,4.4,2.5,40,45,0.18,0.089,1
MSME_0010,Small,Services,Bangalore,15.00,88.00,1,0.97,12,82,0.85,0.01,4.9,1.5,10,78,0.61,0.012,1
MSME_0011,Micro,Manufacturing,Surat,0.85,7.40,1,0.93,78,75,0.82,0.63,4.1,2.8,82,55,0.15,0.076,1
MSME_0012,Micro,Manufacturing,Tirupur,0.65,5.10,1,0.94,68,80,0.84,1.02,4.2,2.7,65,58,0.20,0.065,1
